Voucher;Nome da empresa;CNPJ;Data;Referencia;Iniciais;Situacao;Pagamento;Valor;Observacao;Nota enviada
13211608;GAIA LOGISTICA LTDA;35.701.524/0001-94;25/01/2026;Apoio;Jp;Pago;Asaas;210,00;;sim
13202460;Orion Comercio S/A;91.371.054/0001-19;01/03/2026;Renovacao;Wb;Pago;Asaas;210,00;;sim
13213223;ESTEIO ASSESSORIA ME;06.589.291/0001-81;06/01/2026;Cert Novo;Wb;Pago;Conta;210,00;aguardando nota;sim
13206845;KAIRO MANUTENCAO LTDA;24.518.690/0001-33;24/01/2026;Job Contabil;Rm;Em aberto;Asaas;210,00;;sim
13205172;ARARA TECNOLOGIA LTDA;40662500000103;21/02/2026;Novo;Fv;Pago;Asaas;170,00;contato por e-mail;
13209600;HORIZONTE EVENTOS LTDA;22832151000149;28/02/2026;Novo;St;Pago;Asaas;210,00;ok;
13208088;LEANDRO PIRES;712.667.994-58;07/01/2026;Google;So;Pago;Conta;210,00;ok;sim
13200245;CAMILA TEIXEIRA;68106909724;18/01/2026;Google;Fv;Pago;Asaas;190,00;contato por e-mail;
13201633;XISTO COMERCIO S/A;43.704.429/0001-72;21/02/2026;Google;St;Em aberto;Asaas;49,90;;
13206208;IPE LOGISTICA EIRELI;43576495000104;05/01/2026;Novo;Ab;Pago;Conta;110,00;;sim
13205906;MARIANA MENDES FARIA;675.147.014-50;13/02/2026;Contrato;Ds;Pago;Asaas;340,00;ok;
13210055;  UNIAO IMOBILIARIA LTDA ;75178968000101;24/02/2026;Apoio;Wb;Em aberto;Conta;210,00;ok;
13209966;JUREMA TURISMO EIRELI;11964554000125;07/01/2026;Contador;So;Pago;Conta;210,00;;
13201921;ORION ENGENHARIA EIRELI;35210936000121;06/01/2026;Contrato;Wb;Pago;Asaas;210,00;;
13207640;CAMPO PARTICIPACOES LTDA;91868954000176;23/02/2026;Novo;Ta;Pago;Asaas;110,00;;
13213875;PRIMA EDUCACAO EIRELI;53814480000190;19/02/2026;Contrato;Am;Em aberto;Asaas;210,00;;
13213151;PATRICIA REIS MELO;87622735276;30/01/2026;Contador;Jp;Pago;Asaas;210,00;aguardando nota;sim
13202098;UNIAO ODONTOLOGIA S/A;16.372.504/0001-72;19/01/2026;Job Contabil;Ta;Pago;Conta;210,00;aguardando nota;
13207907;SIMONE FONSECA;834.168.078-01;16/01/2026;Indicacao;Et;Pago;Asaas;170,00;;
13211759;FONTE ASSESSORIA LTDA;20984560000135;15/01/2026;Indicacao;Ds;Pago;Conta;280,00;ok;
13204409;LUCIANA NUNES ABREU;84374399802;22/02/2026;Contador;Bp;Pago;Asaas;210,00;ok;
13212514;QUARTZO IMOBILIARIA EIRELI;96894511000173;24/01/2026;Cert Novo;Rm;Pago;Asaas;140,00;;
13201051;CARLOS EDUARDO ANDRADE;307.829.609-36;15/02/2026;Apoio;Pc;Pago;Asaas;140,00;aguardando nota;sim
13202778;GIRASSOL EDUCACAO ME;97233850000171;12/02/2026;Job Contabil;Jp;Pago;Asaas;49,90;falar com o contador;
13206859;SERRA ASSESSORIA ME;94.923.252/0001-36;22/01/2026;Novo;So;Pago;Asaas;340,00;ok;sim
13210269;ZENITE MANUTENCAO ME;70054332000134;13/02/2026;Cert Novo;Am;Pago;Asaas;;ok;sim
13213834;IPE ALIMENTOS LTDA;09233763000157;03/02/2026;Novo;Jp;Pago;Asaas;280,00;contato por e-mail;
13209225;  PRIMA MANUTENCAO LTDA ;88.922.101/0001-60;01/02/2026;Contador;So;Em aberto;Asaas;170,00;;
13211586;RIACHO SEGURANCA LTDA;74889543000148;26/02/2026;Cert Novo;Et;Pago;Asaas;210,00;ok;sim
13208629;IPE CONSULTORIA ME;44696823000179;03/01/2026;Google;Jp;Pago;Conta;210,00;;
13200938;  FONTE SERVICOS ME ;47683270000108;02/02/2026;Contrato;St;Pago;Asaas;210,00;aguardando nota;
13202235;VARANDA SERVICOS LTDA;81873352000153;15/02/2026;Cert Novo;Rm;Pago;Conta;210,00;;
13207858;ZENITE ASSESSORIA LTDA;34857204000165;16/01/2026;Novo;Mc;Em aberto;Conta;170,00;ok;
13205407;GIRASSOL ALIMENTOS LTDA;65326044000151;04/02/2026;Google;So;Pago;Conta;140,00;falar com o contador;
13207722;FONTE COMERCIO EIRELI;35.011.380/0001-44;15/02/2026;Indicacao;Pc;Pago;Asaas;190,00;ok;
13213017;ANA BEATRIZ RAMOS;92770948335;06/01/2026;Google;Jp;Pago;Asaas;49,90;ok;
13210966;Mirante Contabilidade Me;45007143000163;05/01/2026;Job Contabil;Pc;Em aberto;Asaas;280,00;;sim
13211096;PATRICIA ANDRADE;84087694269;19/02/2026;Contrato;St;Pago;Conta;280,00;ok;sim
13205644;RENATA RAMOS;77924704462;05/01/2026;Indicacao;So;Em aberto;Asaas;280,00;;
13203603;VERTICE COMERCIO EIRELI;59550445000198;14/02/2026;Job Contabil;Ds;Cortesia;Cortesia;;;sim
13213485;DUNA COMERCIO EIRELI;17.563.003/0001-36;14/01/2026;Apoio;Et;Pago;Asaas;190,00;;
13208413;ARARA PARTICIPACOES LTDA;31110151000126;21/02/2026;Novo;Ta;Pago;Conta;210,00;falar com o contador;sim
13205332;PEDRA LOGISTICA EIRELI;40.127.643/0001-15;24/02/2026;Contrato;Ab;Pago;Asaas;110,00;contato por e-mail;sim
13200135;DUNA IMOBILIARIA LTDA;23269551000150;13/02/2026;Apoio;Bp;Pago;Asaas;49,90;ok;
13207353;Serra Logistica S/A;51.682.952/0001-73;14/02/2026;Novo;Pc;Em aberto;Asaas;340,00;ok;sim
13206163;INVERNO IMOBILIARIA EIRELI;93726369000167;09/01/2026;Apoio;Rm;Pago;Conta;210,00;retornar dia 28;sim
13203842;VARANDA TURISMO EIRELI;31047524000161;23/02/2026;Contador;Wb;Pago;Conta;170,00;ok;
13204786;ESTEIO MARKETING LTDA;27302917000105;23/02/2026;Contrato;Rm;Pago;Conta;280,00;;
13204523;GAIA ASSESSORIA;52367015000196;09/01/2026;Novo;Rm;Pago;Conta;210,00;retornar dia 28;
13201725;MARESIA PARTICIPACOES ME;62751231000194;01/03/2026;Cert Novo;St;Pago;Asaas;140,00;aguardando nota;
13204032;GAIA ASSESSORIA ME;96541228000168;15/02/2026;Contrato;Pc;Pago;Conta;170,00;falar com o contador;sim
13206411;GIRASSOL LOGISTICA ME;43784869000187;15/01/2026;Apoio;Mc;Pago;Asaas;110,00;retornar dia 28;
13202516;IPE TRANSPORTES EIRELI;38446639000178;27/01/2026;Cert Novo;So;Pago;Asaas;190,00;contato por e-mail;sim
13201186;IPE CONTABILIDADE ME;60.113.195/0001-08;31/01/2026;Apoio;St;Pago;Asaas;210,00;ok;sim
13203585;Thiago Costa Lima;19601482820;16/01/2026;Contrato;Fv;Pago;Asaas;170,00;aguardando nota;
13207119;Zenite Turismo Ltda;21.021.075/0001-29;16/01/2026;Renovacao;Rm;Pago;Asaas;210,00;;
13202005;VARANDA ALIMENTOS ME;93931461000169;10/01/2026;Renovacao;Ab;Pago;Conta;340,00;;
13202935;KAIRO CONSULTORIA ME;79122845000100;27/01/2026;Indicacao;Bp;Pago;Conta;210,00;retornar dia 28;
13213313;Kairo Alimentos S/A;71611136000186;02/01/2026;Indicacao;Rm;Cortesia;Cortesia;340,00;ok;
13203745;Fonte Imobiliaria Ltda;00833020000143;16/02/2026;Apoio;Am;Pago;Asaas;110,00;retornar dia 28;sim
13204350;LEANDRO FONSECA;730.078.536-43;17/02/2026;Indicacao;Fv;Pago;Asaas;340,00;falar com o contador;
13204878;  MARESIA PARTICIPACOES EIRELI ;99554122000197;24/02/2026;Apoio;Pc;Cortesia;Cortesia;280,00;;
13210486;XISTO TECNOLOGIA EIRELI;47552079000127;12/02/2026;Cert Novo;Fv;Pago;Asaas;170,00;;
13210117;ERVAL SEGURANCA LTDA;06647711000139;27/01/2026;Novo;Mc;Pago;Conta;210,00;aguardando nota;
13208648;DELTA IMOBILIARIA S/A;83.888.380/0001-70;27/01/2026;Cert Novo;Am;Em aberto;Conta;210,00;ok;sim
13214230;GAIA SEGURANCA S/A;37831056000106;09/01/2026;Novo;Ds;Pago;Asaas;49,90;ok;
13202581;  IPE MANUTENCAO LTDA ;10.289.865/0001-73;24/01/2026;Cert Novo;Pc;Em aberto;Conta;210,00;ok;
13209396;FAROL PARTICIPACOES S/A;58.553.216/0001-64;26/02/2026;Google;Mc;Pago;Asaas;210,00;;
13200915;  CEDRO COMERCIO LTDA ;55.492.427/0001-46;08/01/2026;Apoio;Bp;Pago;Asaas;210,00;falar com o contador;sim
13213916;  UNIAO LOGISTICA ME ;90250604000189;23/02/2026;Job Contabil;Fv;Em aberto;Asaas;210,00;retornar dia 28;
13213945;RENATA DIAS;986.122.031-77;03/01/2026;Contador;Fv;Em aberto;Asaas;210,00;contato por e-mail;
13212167;NORTE TRANSPORTES LTDA;73.895.156/0001-51;04/02/2026;Google;Wb;Cortesia;Cortesia;190,00;contato por e-mail;
13202462;DELTA CONSULTORIA LTDA;67.722.728/0001-06;23/01/2026;Contador;So;Pago;Conta;280,00;ok;
13213183;RAIZ PARTICIPACOES LTDA;00.112.915/0001-99;31/01/2026;Apoio;Bp;Pago;Conta;110,00;ok;
13206905;TAMBORIL MARKETING LTDA;01.357.902/0001-42;13/01/2026;Novo;Fv;Pago;Conta;210,00;contato por e-mail;
13201893;HORIZONTE COMERCIO LTDA;42.592.964/0001-16;22/02/2026;Novo;Am;Pago;Asaas;340,00;;
13211880;ALPHA TRANSPORTES S/A;35.531.662/0001-72;01/03/2026;Renovacao;Bp;Cortesia;Cortesia;210,00;aguardando nota;
13208092;FONTE DISTRIBUIDORA EIRELI;96196052000154;26/02/2026;Renovacao;Bp;Pago;Asaas;190,00;aguardando nota;sim
13210778;SERRA SERVICOS LTDA;20.265.646/0001-08;16/01/2026;Google;St;Pago;Asaas;210,00;;
13204137;OLIVEIRA TURISMO LTDA;06.980.307/0001-82;17/02/2026;Apoio;St;Pago;Conta;170,00;;
13204886;Zenite Contabilidade Me;32.397.823/0001-99;27/02/2026;Apoio;Am;Em aberto;Asaas;210,00;retornar dia 28;
13203038;PATRICIA FONSECA;443.444.144-82;30/01/2026;Renovacao;Rm;Pago;Conta;49,90;contato por e-mail;
13200397;GAIA MARKETING LTDA;39377266000193;26/02/2026;Novo;Am;Em aberto;Asaas;120,00;;
13211788;BOREAL SEGURANCA LTDA;37.484.787/0001-14;18/01/2026;Contador;So;Pago;Asaas;140,00;contato por e-mail;sim
13200162;INVERNO MANUTENCAO EIRELI;89345832000153;02/01/2026;Cert Novo;Ta;Pago;Asaas;280,00;ok;
13206862;  Farol Contabilidade S/A ;86800458000140;26/01/2026;Indicacao;Am;Pago;Conta;210,00;;
13213850;ARARA MARKETING LTDA;39.114.178/0001-07;26/01/2026;Contador;Wb;Pago;Asaas;280,00;ok;
13212991;Thiago Sales;38029568414;10/02/2026;Job Contabil;Pc;Pago;Asaas;49,90;retornar dia 28;
13211038;XISTO PARTICIPACOES LTDA;67075375000191;28/02/2026;Job Contabil;Wb;Pago;Conta;140,00;;
13209930;CEDRO SERVICOS LTDA;33.156.821/0001-70;08/02/2026;Job Contabil;So;Cortesia;Cortesia;110,00;falar com o contador;
13211255;Riacho Imobiliaria S/A;41563198000107;18/01/2026;Job Contabil;Ta;Pago;Conta;210,00;;
13211425;PRIMA EVENTOS EIRELI;22913606000150;11/01/2026;Apoio;Ds;Em aberto;Conta;110,00;;
13208972;LUCIANA MENDES FARIA;62997851162;21/02/2026;Renovacao;Ta;Em aberto;Conta;280,00;ok;
13203490;  RIACHO ENGENHARIA EIRELI ;64639860000152;23/02/2026;Job Contabil;So;Em aberto;Conta;;contato por e-mail;
13209502;ZENITE ODONTOLOGIA ME;56865224000110;09/02/2026;Job Contabil;St;Pago;Conta;110,00;ok;
13202639;Erval Consultoria Ltda;04243753000189;19/01/2026;Job Contabil;So;Cortesia;Cortesia;210,00;aguardando nota;sim
13205541;OLIVEIRA ODONTOLOGIA;33.062.761/0001-27;20/02/2026;Cert Novo;Ds;Pago;Conta;110,00;ok;
13211986;JUREMA EDUCACAO LTDA;55597268000144;01/02/2026;Cert Novo;Ab;Pago;Conta;49,90;ok;
13204505;FONTE ASSESSORIA ME;18183474000181;28/02/2026;Contrato;Bp;Pago;Asaas;190,00;ok;sim
13210484;CEDRO SERVICOS ME;53663946000102;07/02/2026;Contador;Pc;Pago;Conta;110,00;aguardando nota;
13209173;FONTE TECNOLOGIA LTDA;23.288.331/0001-74;14/01/2026;Novo;Ta;Em aberto;Asaas;340,00;aguardando nota;sim
13204739;  FAROL TURISMO LTDA ;23699894000155;17/01/2026;Apoio;Am;Pago;Asaas;110,00;contato por e-mail;
13203313;LAGOA TURISMO S/A;58.187.562/0001-76;20/01/2026;Indicacao;Ds;Pago;Asaas;340,00;;
13213824;ZENITE ALIMENTOS EIRELI;48323224000160;04/01/2026;Contrato;Mc;Cortesia;Cortesia;140,00;contato por e-mail;
13213893;CARLOS EDUARDO MENDES FARIA;092.838.333-77;25/02/2026;Indicacao;Ab;Pago;Asaas;49,90;ok;
13203450;OLIVEIRA ASSESSORIA S/A;18981208000102;09/02/2026;Novo;Fv;Pago;Asaas;280,00;;
13211397;LUCIANA MORAES;707.051.361-93;09/02/2026;Novo;Pc;Pago;Conta;140,00;contato por e-mail;
13211315;  TAMBORIL COMERCIO S/A ;82.040.306/0001-36;05/01/2026;Indicacao;Et;Pago;Asaas;170,00;retornar dia 28;sim
13200022;LUMEN DISTRIBUIDORA LTDA;78.248.396/0001-88;24/02/2026;Renovacao;St;Pago;Asaas;210,00;;
13208652;KAIRO ALIMENTOS LTDA;01595398000119;27/02/2026;Cert Novo;Ds;Pago;Asaas;280,00;retornar dia 28;sim
13201014;ALPHA PARTICIPACOES LTDA;98665377000164;10/02/2026;Google;Fv;Pago;Asaas;110,00;contato por e-mail;
13204549;Solar Logistica Ltda;18.072.098/0001-58;01/01/2026;Renovacao;Ds;Cortesia;Cortesia;210,00;;
13205383;BRISA TURISMO S/A;66452801000104;30/01/2026;Indicacao;Mc;Pago;Asaas;170,00;aguardando nota;sim
13208683;RENATA BARROS;61033759252;22/02/2026;Contrato;Am;Em aberto;Asaas;110,00;ok;
13205928;NORTE ODONTOLOGIA S/A;20754155000120;28/01/2026;Apoio;Ab;Pago;Asaas;280,00;ok;
13200995;CARLOS EDUARDO RAMOS;63202808574;02/02/2026;Google;Ta;Pago;Asaas;210,00;retornar dia 28;
13201979;RAIZ IMOBILIARIA LTDA;71.382.474/0001-93;13/01/2026;Renovacao;Fv;Pago;Asaas;210,00;contato por e-mail;
13201486;PATRICIA ANDRADE;28339552961;19/02/2026;Contador;Bp;Pago;Asaas;170,00;retornar dia 28;sim
13214260;RAIZ SEGURANCA LTDA;69454808000145;01/02/2026;Renovacao;Wb;Em aberto;Conta;49,90;ok;
13209079;ZENITE MARKETING EIRELI;64.316.281/0001-79;04/01/2026;Novo;St;Em aberto;Conta;140,00;aguardando nota;
13200208;CAMPO TRANSPORTES ME;63.969.624/0001-31;20/02/2026;Cert Novo;Ds;Pago;Asaas;110,00;ok;
13213412;HORIZONTE SEGURANCA LTDA;95784263000145;27/01/2026;Apoio;Fv;Pago;Conta;170,00;;
13212828;INVERNO TURISMO LTDA;11218370000116;16/02/2026;Renovacao;Fv;Pago;Asaas;49,90;ok;
13207957;XISTO TURISMO LTDA;20962044000100;24/01/2026;Contrato;Jp;Pago;Conta;340,00;aguardando nota;
13214639;  ALPHA MARKETING EIRELI ;50.306.117/0001-76;27/02/2026;Cert Novo;Mc;Pago;Conta;140,00;falar com o contador;
13204655;Ipe Imobiliaria S/A;49.140.468/0001-70;03/02/2026;Apoio;Am;Em aberto;Conta;210,00;;sim
13206210;THIAGO NUNES ABREU;82856062070;01/01/2026;Contador;Ta;Pago;Conta;110,00;falar com o contador;sim
13201905;MIRANTE TRANSPORTES LTDA;01883310000164;03/02/2026;Cert Novo;Jp;Pago;Asaas;210,00;ok;sim
13202502;MARCOS AURELIO ANDRADE;32633765815;05/02/2026;Job Contabil;Rm;Pago;Asaas;210,00;ok;
13203668;SERRA ASSESSORIA LTDA;69564753000126;17/01/2026;Indicacao;Wb;Pago;Conta;280,00;retornar dia 28;
13214674;SERRA TECNOLOGIA LTDA;30878363000195;21/01/2026;Indicacao;Rm;Pago;Conta;340,00;retornar dia 28;
13206595;CEDRO ALIMENTOS LTDA;96961317000163;21/01/2026;Renovacao;Fv;Pago;Asaas;210,00;contato por e-mail;
13212091;PEDRA DISTRIBUIDORA LTDA;52359253000150;20/01/2026;Renovacao;Fv;Pago;Conta;170,00;contato por e-mail;sim
13202883;  SERRA ASSESSORIA ME ;07053600000167;16/01/2026;Novo;Et;Em aberto;Asaas;280,00;contato por e-mail;
13213607;PEDRA PARTICIPACOES S/A;40535816000134;19/02/2026;Contador;So;Pago;Conta;340,00;;
13205458;Norte Engenharia Ltda;30.475.303/0001-21;14/02/2026;Renovacao;Mc;Em aberto;Conta;190,00;;
13214402;Ipe Distribuidora Ltda;57570241000193;31/01/2026;Indicacao;Wb;Cortesia;Cortesia;280,00;retornar dia 28;
13210457;HORIZONTE DISTRIBUIDORA EIRELI;6659100000100;06/02/2026;Google;Jp;Pago;Conta;210,00;ok;
13210550;ORION MARKETING ME;41.716.633/0001-88;19/02/2026;Indicacao;Pc;Pago;Conta;210,00;ok;
13200741;GIRASSOL DISTRIBUIDORA EIRELI;29283601000130;25/02/2026;Novo;Fv;Pago;Asaas;59,90;contato por e-mail;
13209472;CEDRO LOGISTICA LTDA;30310407000186;02/01/2026;Renovacao;Ds;Pago;Conta;280,00;aguardando nota;
13206357;TRILHA IMOBILIARIA LTDA;35.768.225/0001-77;08/01/2026;Apoio;Rm;Pago;Conta;280,00;ok;sim
13205345;RAIZ ENGENHARIA ME;33.421.774/0001-45;15/02/2026;Indicacao;Ds;Pago;Asaas;190,00;ok;
13213252;ALPHA COMERCIO LTDA;68.504.220/0001-96;20/01/2026;Indicacao;So;Pago;Conta;190,00;contato por e-mail;
13208991;MARCOS AURELIO TAVARES;18385175707;19/02/2026;Novo;Pc;Pago;Asaas;280,00;;
13202299;VANESSA PIRES;764.475.234-52;27/01/2026;Apoio;Mc;Em aberto;Asaas;110,00;retornar dia 28;
13201381;CAMILA PIRES;63515287908;16/01/2026;Apoio;St;Pago;Asaas;170,00;falar com o contador;
13213393;ZENITE CONTABILIDADE LTDA;98.899.721/0001-80;09/01/2026;Novo;Jp;Pago;Asaas;210,00;contato por e-mail;sim
13201495;RODRIGO BARROS;80637998417;17/02/2026;Renovacao;Bp;Pago;Asaas;210,00;contato por e-mail;
13200054;OLIVEIRA EVENTOS S/A;74324557000114;31/01/2026;Apoio;St;Pago;Asaas;49,90;;
13209043;PEDRA ODONTOLOGIA LTDA;52708505000109;16/02/2026;Contador;Fv;Pago;Conta;210,00;contato por e-mail;sim
13210240;NORTE CONTABILIDADE LTDA;64133909000109;23/02/2026;Contrato;Ds;Em aberto;Asaas;170,00;;
13207486;Varanda Logistica S/A;70.992.145/0001-00;09/01/2026;Renovacao;Ta;Pago;Conta;340,00;ok;
13207665;CEDRO MANUTENCAO LTDA;13698622000187;03/02/2026;Renovacao;Et;Pago;Asaas;140,00;retornar dia 28;
13202165;  UNIAO LOGISTICA S/A ;88303721000111;12/02/2026;Job Contabil;Et;Pago;Asaas;49,90;;
13203423;Girassol Assessoria S/A;20.150.417/0001-48;18/01/2026;Apoio;So;Cortesia;Cortesia;210,00;falar com o contador;sim
